(epoch: 2, iters: 20, time: 22.107) l1_x4: 11.522
(epoch: 4, iters: 40, time: 22.691) l1_x4: 10.878
(epoch: 6, iters: 60, time: 23.627) l1_x4: 10.722
(epoch: 8, iters: 80, time: 24.170) l1_x4: 10.400
(epoch: 10, iters: 100, time: 24.061) l1_x4: 10.463
(epoch: 12, iters: 120, time: 24.299) l1_x4: 10.459
(epoch: 14, iters: 140, time: 24.204) l1_x4: 10.396
(epoch: 16, iters: 160, time: 24.153) l1_x4: 10.074
(epoch: 18, iters: 180, time: 24.315) l1_x4: 10.169
(epoch: 20, iters: 200, time: 24.412) l1_x4: 10.184
(epoch: 22, iters: 220, time: 24.167) l1_x4: 9.837
(epoch: 24, iters: 240, time: 24.232) l1_x4: 9.857
(epoch: 26, iters: 260, time: 24.231) l1_x4: 9.873
(epoch: 28, iters: 280, time: 24.139) l1_x4: 10.039
(epoch: 30, iters: 300, time: 24.336) l1_x4: 9.753
(epoch: 32, iters: 320, time: 23.970) l1_x4: 9.816
(epoch: 34, iters: 340, time: 24.227) l1_x4: 9.919
(epoch: 36, iters: 360, time: 24.061) l1_x4: 9.549
(epoch: 38, iters: 380, time: 24.120) l1_x4: 9.770
(epoch: 40, iters: 400, time: 24.090) l1_x4: 9.797
(epoch: 42, iters: 420, time: 23.982) l1_x4: 9.775
(epoch: 44, iters: 440, time: 24.211) l1_x4: 9.548
(epoch: 46, iters: 460, time: 24.098) l1_x4: 9.498
(epoch: 48, iters: 480, time: 24.049) l1_x4: 9.839
(epoch: 50, iters: 500, time: 24.094) l1_x4: 9.702
(epoch: 52, iters: 520, time: 24.211) l1_x4: 9.670
(epoch: 54, iters: 540, time: 24.209) l1_x4: 9.677
(epoch: 56, iters: 560, time: 24.319) l1_x4: 9.579
(epoch: 58, iters: 580, time: 24.176) l1_x4: 9.731
(epoch: 60, iters: 600, time: 24.155) l1_x4: 9.604
(epoch: 62, iters: 620, time: 24.104) l1_x4: 9.639
(epoch: 64, iters: 640, time: 24.278) l1_x4: 9.647
(epoch: 66, iters: 660, time: 23.992) l1_x4: 9.875
(epoch: 68, iters: 680, time: 24.097) l1_x4: 9.919
(epoch: 70, iters: 700, time: 24.211) l1_x4: 9.489
(epoch: 72, iters: 720, time: 24.173) l1_x4: 9.485
(epoch: 74, iters: 740, time: 24.094) l1_x4: 9.458
(epoch: 76, iters: 760, time: 24.076) l1_x4: 9.675
(epoch: 78, iters: 780, time: 24.190) l1_x4: 9.576
(epoch: 80, iters: 800, time: 24.162) l1_x4: 9.770
(epoch: 82, iters: 820, time: 24.163) l1_x4: 9.228
(epoch: 84, iters: 840, time: 24.203) l1_x4: 9.581
(epoch: 86, iters: 860, time: 24.320) l1_x4: 9.478
(epoch: 88, iters: 880, time: 24.294) l1_x4: 9.523
(epoch: 90, iters: 900, time: 24.304) l1_x4: 9.184
(epoch: 92, iters: 920, time: 24.181) l1_x4: 9.345
(epoch: 94, iters: 940, time: 24.129) l1_x4: 9.588
(epoch: 96, iters: 960, time: 24.141) l1_x4: 9.387
(epoch: 98, iters: 980, time: 24.164) l1_x4: 9.236
(epoch: 100, iters: 1000, time: 24.132) l1_x4: 9.374
(epoch: 102, iters: 1020, time: 24.254) l1_x4: 9.442
(epoch: 104, iters: 1040, time: 24.138) l1_x4: 9.681
(epoch: 106, iters: 1060, time: 24.185) l1_x4: 9.331
(epoch: 108, iters: 1080, time: 24.099) l1_x4: 9.630
(epoch: 110, iters: 1100, time: 24.106) l1_x4: 9.383
(epoch: 112, iters: 1120, time: 24.114) l1_x4: 9.469
(epoch: 114, iters: 1140, time: 24.132) l1_x4: 9.745
(epoch: 116, iters: 1160, time: 24.194) l1_x4: 9.288
(epoch: 118, iters: 1180, time: 24.254) l1_x4: 9.679
(epoch: 120, iters: 1200, time: 24.144) l1_x4: 9.324
(epoch: 122, iters: 1220, time: 24.151) l1_x4: 9.416
(epoch: 124, iters: 1240, time: 24.041) l1_x4: 9.297
(epoch: 126, iters: 1260, time: 24.296) l1_x4: 9.444
(epoch: 128, iters: 1280, time: 24.100) l1_x4: 9.573
(epoch: 130, iters: 1300, time: 24.163) l1_x4: 9.561
(epoch: 132, iters: 1320, time: 24.147) l1_x4: 9.242
(epoch: 134, iters: 1340, time: 23.995) l1_x4: 9.347
(epoch: 136, iters: 1360, time: 24.000) l1_x4: 9.382
(epoch: 138, iters: 1380, time: 24.123) l1_x4: 9.267
(epoch: 140, iters: 1400, time: 24.229) l1_x4: 9.106
(epoch: 142, iters: 1420, time: 24.281) l1_x4: 9.377
(epoch: 144, iters: 1440, time: 24.090) l1_x4: 9.253
(epoch: 146, iters: 1460, time: 23.937) l1_x4: 9.266
(epoch: 148, iters: 1480, time: 24.250) l1_x4: 9.151
(epoch: 150, iters: 1500, time: 23.909) l1_x4: 9.101
(epoch: 152, iters: 1520, time: 24.007) l1_x4: 9.268
(epoch: 154, iters: 1540, time: 24.176) l1_x4: 9.073
(epoch: 156, iters: 1560, time: 23.914) l1_x4: 9.376
(epoch: 158, iters: 1580, time: 24.072) l1_x4: 9.322
(epoch: 160, iters: 1600, time: 24.027) l1_x4: 9.166
(epoch: 162, iters: 1620, time: 24.104) l1_x4: 9.241
(epoch: 164, iters: 1640, time: 24.139) l1_x4: 9.400
(epoch: 166, iters: 1660, time: 24.006) l1_x4: 9.338
(epoch: 168, iters: 1680, time: 24.111) l1_x4: 9.357
(epoch: 170, iters: 1700, time: 24.092) l1_x4: 9.265
(epoch: 172, iters: 1720, time: 24.309) l1_x4: 9.000
(epoch: 174, iters: 1740, time: 24.287) l1_x4: 9.171
(epoch: 176, iters: 1760, time: 24.112) l1_x4: 9.289
(epoch: 178, iters: 1780, time: 24.184) l1_x4: 8.852
(epoch: 180, iters: 1800, time: 24.075) l1_x4: 9.117
(epoch: 182, iters: 1820, time: 24.206) l1_x4: 8.954
(epoch: 184, iters: 1840, time: 24.036) l1_x4: 9.295
(epoch: 186, iters: 1860, time: 24.021) l1_x4: 9.265
(epoch: 188, iters: 1880, time: 24.212) l1_x4: 9.315
(epoch: 190, iters: 1900, time: 24.071) l1_x4: 9.225
(epoch: 192, iters: 1920, time: 24.383) l1_x4: 9.334
(epoch: 194, iters: 1940, time: 24.086) l1_x4: 9.213
(epoch: 196, iters: 1960, time: 24.319) l1_x4: 9.417
(epoch: 198, iters: 1980, time: 24.293) l1_x4: 9.262
(epoch: 200, iters: 2000, time: 24.238) l1_x4: 9.339
(epoch: 202, iters: 2020, time: 24.209) l1_x4: 9.176
(epoch: 204, iters: 2040, time: 24.099) l1_x4: 9.006
(epoch: 206, iters: 2060, time: 24.095) l1_x4: 9.018
(epoch: 208, iters: 2080, time: 24.118) l1_x4: 9.047
(epoch: 210, iters: 2100, time: 24.217) l1_x4: 8.858
(epoch: 212, iters: 2120, time: 24.091) l1_x4: 9.140
(epoch: 214, iters: 2140, time: 24.107) l1_x4: 9.285
(epoch: 216, iters: 2160, time: 24.121) l1_x4: 9.416
(epoch: 218, iters: 2180, time: 24.220) l1_x4: 9.003
(epoch: 220, iters: 2200, time: 24.107) l1_x4: 9.175
(epoch: 222, iters: 2220, time: 24.176) l1_x4: 8.922
(epoch: 224, iters: 2240, time: 24.136) l1_x4: 9.068
(epoch: 226, iters: 2260, time: 24.098) l1_x4: 9.044
(epoch: 228, iters: 2280, time: 24.234) l1_x4: 8.795
(epoch: 230, iters: 2300, time: 24.109) l1_x4: 9.034
(epoch: 232, iters: 2320, time: 24.083) l1_x4: 9.080
(epoch: 234, iters: 2340, time: 24.022) l1_x4: 9.133
(epoch: 236, iters: 2360, time: 24.208) l1_x4: 9.079
(epoch: 238, iters: 2380, time: 24.291) l1_x4: 9.323
(epoch: 240, iters: 2400, time: 24.081) l1_x4: 9.299
(epoch: 242, iters: 2420, time: 24.061) l1_x4: 9.021
(epoch: 244, iters: 2440, time: 24.283) l1_x4: 9.057
(epoch: 246, iters: 2460, time: 24.055) l1_x4: 9.057
(epoch: 248, iters: 2480, time: 24.233) l1_x4: 9.306
(epoch: 250, iters: 2500, time: 24.205) l1_x4: 8.946
(epoch: 252, iters: 2520, time: 24.149) l1_x4: 8.950
(epoch: 254, iters: 2540, time: 24.304) l1_x4: 9.077
(epoch: 256, iters: 2560, time: 24.295) l1_x4: 9.031
(epoch: 258, iters: 2580, time: 24.153) l1_x4: 8.796
(epoch: 260, iters: 2600, time: 24.250) l1_x4: 8.970
(epoch: 262, iters: 2620, time: 24.197) l1_x4: 8.983
(epoch: 264, iters: 2640, time: 24.087) l1_x4: 9.073
(epoch: 266, iters: 2660, time: 24.161) l1_x4: 8.857
(epoch: 268, iters: 2680, time: 24.137) l1_x4: 9.219
(epoch: 270, iters: 2700, time: 24.016) l1_x4: 8.949
(epoch: 272, iters: 2720, time: 24.382) l1_x4: 8.981
(epoch: 274, iters: 2740, time: 24.029) l1_x4: 9.010
(epoch: 276, iters: 2760, time: 24.267) l1_x4: 8.936
(epoch: 278, iters: 2780, time: 24.283) l1_x4: 8.900
(epoch: 280, iters: 2800, time: 24.265) l1_x4: 8.961
(epoch: 282, iters: 2820, time: 24.196) l1_x4: 9.032
(epoch: 284, iters: 2840, time: 24.229) l1_x4: 9.061
(epoch: 286, iters: 2860, time: 24.129) l1_x4: 8.916
(epoch: 288, iters: 2880, time: 24.158) l1_x4: 8.987
(epoch: 290, iters: 2900, time: 24.253) l1_x4: 9.121
(epoch: 292, iters: 2920, time: 24.180) l1_x4: 8.850
(epoch: 294, iters: 2940, time: 24.138) l1_x4: 8.816
