(epoch: 251, iters: 100400, time: 845.089) l1_x4: 4.697
(epoch: 252, iters: 100800, time: 849.848) l1_x4: 4.709
(epoch: 253, iters: 101200, time: 850.127) l1_x4: 4.710
(epoch: 254, iters: 101600, time: 849.488) l1_x4: 4.678
(epoch: 255, iters: 102000, time: 849.324) l1_x4: 4.673
(epoch: 256, iters: 102400, time: 849.469) l1_x4: 4.663
(epoch: 257, iters: 102800, time: 848.728) l1_x4: 4.663
(epoch: 258, iters: 103200, time: 846.251) l1_x4: 4.640
(epoch: 259, iters: 103600, time: 849.080) l1_x4: 4.680
(epoch: 260, iters: 104000, time: 849.068) l1_x4: 4.639
(epoch: 261, iters: 104400, time: 849.287) l1_x4: 4.658
(epoch: 262, iters: 104800, time: 849.909) l1_x4: 4.641
(epoch: 263, iters: 105200, time: 850.648) l1_x4: 4.623
(epoch: 264, iters: 105600, time: 850.790) l1_x4: 4.604
(epoch: 265, iters: 106000, time: 850.715) l1_x4: 4.656
(epoch: 266, iters: 106400, time: 850.319) l1_x4: 4.646
(epoch: 267, iters: 106800, time: 849.299) l1_x4: 4.643
(epoch: 268, iters: 107200, time: 848.918) l1_x4: 4.647
(epoch: 269, iters: 107600, time: 849.641) l1_x4: 4.634
(epoch: 270, iters: 108000, time: 851.940) l1_x4: 4.621
(epoch: 271, iters: 108400, time: 850.230) l1_x4: 4.649
(epoch: 272, iters: 108800, time: 849.540) l1_x4: 4.634
(epoch: 273, iters: 109200, time: 850.643) l1_x4: 4.635
(epoch: 274, iters: 109600, time: 850.707) l1_x4: 4.636
(epoch: 275, iters: 110000, time: 849.724) l1_x4: 4.611
(epoch: 276, iters: 110400, time: 849.538) l1_x4: 4.620
(epoch: 277, iters: 110800, time: 850.408) l1_x4: 4.587
(epoch: 278, iters: 111200, time: 850.344) l1_x4: 4.628
(epoch: 279, iters: 111600, time: 850.732) l1_x4: 4.612
(epoch: 280, iters: 112000, time: 850.664) l1_x4: 4.618
(epoch: 281, iters: 112400, time: 850.593) l1_x4: 4.615
(epoch: 282, iters: 112800, time: 850.215) l1_x4: 4.589
(epoch: 283, iters: 113200, time: 851.282) l1_x4: 4.625
(epoch: 284, iters: 113600, time: 850.291) l1_x4: 4.597
(epoch: 285, iters: 114000, time: 850.641) l1_x4: 4.590
(epoch: 286, iters: 114400, time: 850.654) l1_x4: 4.609
(epoch: 287, iters: 114800, time: 850.483) l1_x4: 4.594
(epoch: 288, iters: 115200, time: 850.724) l1_x4: 4.590
(epoch: 289, iters: 115600, time: 850.222) l1_x4: 4.594
(epoch: 290, iters: 116000, time: 850.701) l1_x4: 4.621
(epoch: 291, iters: 116400, time: 850.170) l1_x4: 4.604
(epoch: 292, iters: 116800, time: 850.871) l1_x4: 4.595
(epoch: 293, iters: 117200, time: 850.470) l1_x4: 4.596
(epoch: 294, iters: 117600, time: 850.467) l1_x4: 4.616
(epoch: 295, iters: 118000, time: 850.388) l1_x4: 4.595
(epoch: 296, iters: 118400, time: 850.784) l1_x4: 4.614
(epoch: 297, iters: 118800, time: 850.482) l1_x4: 4.574
(epoch: 298, iters: 119200, time: 850.368) l1_x4: 4.615
(epoch: 299, iters: 119600, time: 850.697) l1_x4: 4.577
(epoch: 300, iters: 120000, time: 850.214) l1_x4: 4.599
