(epoch: 251, iters: 100400, time: 123.548) l1_x8: 14.996
(epoch: 252, iters: 100800, time: 128.352) l1_x8: 14.856
(epoch: 253, iters: 101200, time: 127.370) l1_x8: 14.756
(epoch: 254, iters: 101600, time: 127.637) l1_x8: 14.706
(epoch: 255, iters: 102000, time: 127.237) l1_x8: 14.637
(epoch: 256, iters: 102400, time: 127.430) l1_x8: 14.558
(epoch: 257, iters: 102800, time: 127.223) l1_x8: 14.516
(epoch: 258, iters: 103200, time: 127.981) l1_x8: 14.451
(epoch: 259, iters: 103600, time: 127.685) l1_x8: 14.447
(epoch: 260, iters: 104000, time: 127.665) l1_x8: 14.401
(epoch: 261, iters: 104400, time: 127.943) l1_x8: 14.350
(epoch: 262, iters: 104800, time: 127.803) l1_x8: 14.296
(epoch: 263, iters: 105200, time: 127.670) l1_x8: 14.294
(epoch: 264, iters: 105600, time: 127.528) l1_x8: 14.228
(epoch: 265, iters: 106000, time: 127.662) l1_x8: 14.208
(epoch: 266, iters: 106400, time: 127.660) l1_x8: 14.128
(epoch: 267, iters: 106800, time: 127.534) l1_x8: 14.095
(epoch: 268, iters: 107200, time: 127.327) l1_x8: 14.094
(epoch: 269, iters: 107600, time: 127.564) l1_x8: 14.093
(epoch: 270, iters: 108000, time: 127.836) l1_x8: 13.954
(epoch: 271, iters: 108400, time: 128.077) l1_x8: 13.979
(epoch: 272, iters: 108800, time: 127.395) l1_x8: 13.947
(epoch: 273, iters: 109200, time: 127.571) l1_x8: 13.943
(epoch: 274, iters: 109600, time: 127.418) l1_x8: 13.913
(epoch: 275, iters: 110000, time: 127.429) l1_x8: 13.846
(epoch: 276, iters: 110400, time: 127.479) l1_x8: 13.834
(epoch: 277, iters: 110800, time: 127.622) l1_x8: 13.785
(epoch: 278, iters: 111200, time: 127.509) l1_x8: 13.806
(epoch: 279, iters: 111600, time: 127.525) l1_x8: 13.758
(epoch: 280, iters: 112000, time: 127.423) l1_x8: 13.735
(epoch: 281, iters: 112400, time: 127.569) l1_x8: 13.725
(epoch: 282, iters: 112800, time: 127.382) l1_x8: 13.682
(epoch: 283, iters: 113200, time: 127.418) l1_x8: 13.656
(epoch: 284, iters: 113600, time: 127.103) l1_x8: 13.622
(epoch: 285, iters: 114000, time: 127.246) l1_x8: 13.576
(epoch: 286, iters: 114400, time: 127.466) l1_x8: 13.594
(epoch: 287, iters: 114800, time: 127.576) l1_x8: 13.566
(epoch: 288, iters: 115200, time: 127.678) l1_x8: 13.531
(epoch: 289, iters: 115600, time: 127.665) l1_x8: 13.499
(epoch: 290, iters: 116000, time: 127.678) l1_x8: 13.472
(epoch: 291, iters: 116400, time: 127.974) l1_x8: 13.488
(epoch: 292, iters: 116800, time: 127.587) l1_x8: 13.447
(epoch: 293, iters: 117200, time: 127.206) l1_x8: 13.441
(epoch: 294, iters: 117600, time: 127.283) l1_x8: 13.374
(epoch: 295, iters: 118000, time: 127.305) l1_x8: 13.401
(epoch: 296, iters: 118400, time: 127.510) l1_x8: 13.374
(epoch: 297, iters: 118800, time: 128.594) l1_x8: 13.320
(epoch: 298, iters: 119200, time: 127.300) l1_x8: 13.349
(epoch: 299, iters: 119600, time: 127.249) l1_x8: 13.304
(epoch: 300, iters: 120000, time: 127.088) l1_x8: 13.267
