(epoch: 1, iters: 400, time: 721.444) l1_x8: 7.623
(epoch: 2, iters: 800, time: 726.486) l1_x8: 7.261
(epoch: 3, iters: 1200, time: 725.331) l1_x8: 7.206
(epoch: 4, iters: 1600, time: 725.920) l1_x8: 7.126
(epoch: 5, iters: 2000, time: 724.806) l1_x8: 7.070
(epoch: 6, iters: 2400, time: 724.862) l1_x8: 7.029
(epoch: 7, iters: 2800, time: 724.881) l1_x8: 7.058
(epoch: 8, iters: 3200, time: 724.672) l1_x8: 7.010
(epoch: 9, iters: 3600, time: 724.713) l1_x8: 6.971
(epoch: 10, iters: 4000, time: 724.675) l1_x8: 6.993
(epoch: 11, iters: 4400, time: 724.651) l1_x8: 6.937
(epoch: 12, iters: 4800, time: 724.556) l1_x8: 6.933
(epoch: 13, iters: 5200, time: 724.384) l1_x8: 6.899
(epoch: 14, iters: 5600, time: 724.627) l1_x8: 6.886
(epoch: 15, iters: 6000, time: 724.574) l1_x8: 6.910
(epoch: 16, iters: 6400, time: 724.550) l1_x8: 6.848
(epoch: 17, iters: 6800, time: 725.081) l1_x8: 6.811
(epoch: 18, iters: 7200, time: 725.284) l1_x8: 6.789
(epoch: 19, iters: 7600, time: 724.440) l1_x8: 6.785
(epoch: 20, iters: 8000, time: 724.673) l1_x8: 6.763
(epoch: 21, iters: 8400, time: 724.911) l1_x8: 6.771
(epoch: 22, iters: 8800, time: 724.521) l1_x8: 6.732
(epoch: 23, iters: 9200, time: 724.768) l1_x8: 6.773
(epoch: 24, iters: 9600, time: 724.803) l1_x8: 6.742
(epoch: 25, iters: 10000, time: 724.880) l1_x8: 6.748
(epoch: 26, iters: 10400, time: 724.520) l1_x8: 6.730
(epoch: 27, iters: 10800, time: 724.783) l1_x8: 6.747
(epoch: 28, iters: 11200, time: 735.549) l1_x8: 6.748
(epoch: 29, iters: 11600, time: 725.635) l1_x8: 6.694
(epoch: 30, iters: 12000, time: 724.514) l1_x8: 6.703
(epoch: 31, iters: 12400, time: 724.376) l1_x8: 6.705
(epoch: 32, iters: 12800, time: 724.465) l1_x8: 6.720
(epoch: 33, iters: 13200, time: 724.707) l1_x8: 6.691
(epoch: 34, iters: 13600, time: 724.561) l1_x8: 6.703
(epoch: 35, iters: 14000, time: 724.767) l1_x8: 6.675
(epoch: 36, iters: 14400, time: 724.488) l1_x8: 6.719
(epoch: 37, iters: 14800, time: 725.093) l1_x8: 6.715
(epoch: 38, iters: 15200, time: 724.902) l1_x8: 6.708
(epoch: 39, iters: 15600, time: 724.718) l1_x8: 6.703
(epoch: 40, iters: 16000, time: 724.601) l1_x8: 6.707
(epoch: 41, iters: 16400, time: 724.739) l1_x8: 6.678
(epoch: 42, iters: 16800, time: 725.184) l1_x8: 6.681
(epoch: 43, iters: 17200, time: 725.154) l1_x8: 6.683
(epoch: 44, iters: 17600, time: 724.957) l1_x8: 6.699
(epoch: 45, iters: 18000, time: 725.143) l1_x8: 6.687
(epoch: 46, iters: 18400, time: 725.100) l1_x8: 6.670
(epoch: 47, iters: 18800, time: 724.877) l1_x8: 6.696
(epoch: 48, iters: 19200, time: 725.078) l1_x8: 6.690
(epoch: 49, iters: 19600, time: 724.663) l1_x8: 6.673
(epoch: 50, iters: 20000, time: 724.878) l1_x8: 6.669
(epoch: 51, iters: 20400, time: 724.901) l1_x8: 6.669
(epoch: 52, iters: 20800, time: 724.776) l1_x8: 6.652
(epoch: 53, iters: 21200, time: 724.863) l1_x8: 6.652
(epoch: 54, iters: 21600, time: 724.555) l1_x8: 6.638
(epoch: 55, iters: 22000, time: 724.828) l1_x8: 6.677
(epoch: 56, iters: 22400, time: 725.275) l1_x8: 6.627
(epoch: 57, iters: 22800, time: 725.274) l1_x8: 6.651
(epoch: 58, iters: 23200, time: 724.876) l1_x8: 6.640
(epoch: 59, iters: 23600, time: 724.805) l1_x8: 6.657
(epoch: 60, iters: 24000, time: 725.179) l1_x8: 6.622
(epoch: 61, iters: 24400, time: 724.872) l1_x8: 6.657
(epoch: 62, iters: 24800, time: 724.816) l1_x8: 6.650
(epoch: 63, iters: 25200, time: 725.543) l1_x8: 6.628
(epoch: 64, iters: 25600, time: 725.238) l1_x8: 6.642
(epoch: 65, iters: 26000, time: 725.444) l1_x8: 6.649
(epoch: 66, iters: 26400, time: 725.038) l1_x8: 6.582
(epoch: 67, iters: 26800, time: 724.612) l1_x8: 6.604
(epoch: 68, iters: 27200, time: 724.602) l1_x8: 6.616
(epoch: 69, iters: 27600, time: 724.676) l1_x8: 6.597
(epoch: 70, iters: 28000, time: 725.001) l1_x8: 6.607
(epoch: 71, iters: 28400, time: 725.277) l1_x8: 6.604
(epoch: 72, iters: 28800, time: 725.113) l1_x8: 6.578
(epoch: 73, iters: 29200, time: 725.015) l1_x8: 6.589
(epoch: 74, iters: 29600, time: 724.819) l1_x8: 6.554
(epoch: 75, iters: 30000, time: 724.980) l1_x8: 6.591
(epoch: 76, iters: 30400, time: 725.072) l1_x8: 6.607
(epoch: 77, iters: 30800, time: 725.399) l1_x8: 6.582
(epoch: 78, iters: 31200, time: 724.935) l1_x8: 6.539
(epoch: 79, iters: 31600, time: 725.094) l1_x8: 6.603
(epoch: 80, iters: 32000, time: 725.337) l1_x8: 6.604
(epoch: 81, iters: 32400, time: 725.377) l1_x8: 6.567
(epoch: 82, iters: 32800, time: 725.480) l1_x8: 6.533
(epoch: 83, iters: 33200, time: 725.186) l1_x8: 6.578
(epoch: 84, iters: 33600, time: 725.458) l1_x8: 6.597
(epoch: 85, iters: 34000, time: 725.275) l1_x8: 6.558
(epoch: 86, iters: 34400, time: 724.923) l1_x8: 6.539
(epoch: 87, iters: 34800, time: 725.232) l1_x8: 6.540
(epoch: 88, iters: 35200, time: 725.286) l1_x8: 6.548
(epoch: 89, iters: 35600, time: 725.216) l1_x8: 6.542
(epoch: 90, iters: 36000, time: 725.133) l1_x8: 6.574
(epoch: 91, iters: 36400, time: 724.478) l1_x8: 6.537
(epoch: 92, iters: 36800, time: 724.630) l1_x8: 6.532
(epoch: 93, iters: 37200, time: 724.543) l1_x8: 6.575
(epoch: 94, iters: 37600, time: 724.556) l1_x8: 6.537
(epoch: 95, iters: 38000, time: 724.868) l1_x8: 6.554
(epoch: 96, iters: 38400, time: 724.660) l1_x8: 6.532
(epoch: 97, iters: 38800, time: 724.631) l1_x8: 6.530
(epoch: 98, iters: 39200, time: 724.640) l1_x8: 6.545
(epoch: 99, iters: 39600, time: 724.588) l1_x8: 6.515
(epoch: 100, iters: 40000, time: 724.756) l1_x8: 6.501
(epoch: 101, iters: 40400, time: 724.780) l1_x8: 6.543
(epoch: 102, iters: 40800, time: 724.681) l1_x8: 6.522
(epoch: 103, iters: 41200, time: 724.679) l1_x8: 6.531
(epoch: 104, iters: 41600, time: 724.490) l1_x8: 6.479
(epoch: 105, iters: 42000, time: 724.754) l1_x8: 6.532
(epoch: 106, iters: 42400, time: 725.362) l1_x8: 6.500
(epoch: 107, iters: 42800, time: 724.713) l1_x8: 6.515
(epoch: 108, iters: 43200, time: 725.005) l1_x8: 6.468
(epoch: 109, iters: 43600, time: 724.733) l1_x8: 6.506
(epoch: 110, iters: 44000, time: 724.661) l1_x8: 6.501
(epoch: 111, iters: 44400, time: 724.636) l1_x8: 6.480
(epoch: 112, iters: 44800, time: 725.063) l1_x8: 6.467
(epoch: 113, iters: 45200, time: 724.669) l1_x8: 6.474
(epoch: 114, iters: 45600, time: 724.835) l1_x8: 6.518
(epoch: 115, iters: 46000, time: 724.944) l1_x8: 6.475
(epoch: 116, iters: 46400, time: 724.601) l1_x8: 6.507
(epoch: 117, iters: 46800, time: 724.748) l1_x8: 6.473
(epoch: 118, iters: 47200, time: 724.521) l1_x8: 6.459
(epoch: 119, iters: 47600, time: 724.767) l1_x8: 6.475
(epoch: 120, iters: 48000, time: 724.617) l1_x8: 6.446
(epoch: 121, iters: 48400, time: 725.025) l1_x8: 6.491
(epoch: 122, iters: 48800, time: 725.139) l1_x8: 6.465
(epoch: 123, iters: 49200, time: 724.583) l1_x8: 6.474
(epoch: 124, iters: 49600, time: 724.769) l1_x8: 6.437
(epoch: 125, iters: 50000, time: 725.036) l1_x8: 6.438
(epoch: 126, iters: 50400, time: 724.560) l1_x8: 6.490
(epoch: 127, iters: 50800, time: 724.439) l1_x8: 6.465
(epoch: 128, iters: 51200, time: 724.594) l1_x8: 6.451
(epoch: 129, iters: 51600, time: 724.637) l1_x8: 6.454
(epoch: 130, iters: 52000, time: 724.693) l1_x8: 6.444
(epoch: 131, iters: 52400, time: 724.772) l1_x8: 6.458
(epoch: 132, iters: 52800, time: 724.861) l1_x8: 6.429
(epoch: 133, iters: 53200, time: 724.828) l1_x8: 6.467
(epoch: 134, iters: 53600, time: 724.843) l1_x8: 6.441
(epoch: 135, iters: 54000, time: 725.009) l1_x8: 6.449
(epoch: 136, iters: 54400, time: 725.091) l1_x8: 6.401
(epoch: 137, iters: 54800, time: 725.137) l1_x8: 6.407
(epoch: 138, iters: 55200, time: 724.756) l1_x8: 6.434
(epoch: 139, iters: 55600, time: 724.971) l1_x8: 6.439
(epoch: 140, iters: 56000, time: 724.843) l1_x8: 6.429
(epoch: 141, iters: 56400, time: 725.197) l1_x8: 6.413
(epoch: 142, iters: 56800, time: 725.170) l1_x8: 6.421
(epoch: 143, iters: 57200, time: 725.247) l1_x8: 6.408
(epoch: 144, iters: 57600, time: 724.903) l1_x8: 6.440
(epoch: 145, iters: 58000, time: 724.750) l1_x8: 6.399
(epoch: 146, iters: 58400, time: 724.669) l1_x8: 6.407
(epoch: 147, iters: 58800, time: 724.764) l1_x8: 6.396
(epoch: 148, iters: 59200, time: 724.914) l1_x8: 6.425
(epoch: 149, iters: 59600, time: 724.879) l1_x8: 6.403
(epoch: 150, iters: 60000, time: 725.129) l1_x8: 6.388
(epoch: 151, iters: 60400, time: 725.051) l1_x8: 6.398
(epoch: 152, iters: 60800, time: 725.033) l1_x8: 6.432
(epoch: 153, iters: 61200, time: 725.216) l1_x8: 6.398
(epoch: 154, iters: 61600, time: 725.121) l1_x8: 6.382
(epoch: 155, iters: 62000, time: 724.834) l1_x8: 6.406
(epoch: 156, iters: 62400, time: 725.335) l1_x8: 6.377
(epoch: 157, iters: 62800, time: 725.324) l1_x8: 6.425
(epoch: 158, iters: 63200, time: 724.840) l1_x8: 6.374
(epoch: 159, iters: 63600, time: 724.507) l1_x8: 6.401
(epoch: 160, iters: 64000, time: 724.467) l1_x8: 6.344
(epoch: 161, iters: 64400, time: 724.560) l1_x8: 6.403
(epoch: 162, iters: 64800, time: 724.819) l1_x8: 6.386
(epoch: 163, iters: 65200, time: 724.795) l1_x8: 6.371
(epoch: 164, iters: 65600, time: 725.314) l1_x8: 6.369
(epoch: 165, iters: 66000, time: 725.509) l1_x8: 6.373
(epoch: 166, iters: 66400, time: 725.092) l1_x8: 6.344
(epoch: 167, iters: 66800, time: 725.050) l1_x8: 6.366
(epoch: 168, iters: 67200, time: 724.725) l1_x8: 6.386
(epoch: 169, iters: 67600, time: 724.506) l1_x8: 6.345
(epoch: 170, iters: 68000, time: 724.462) l1_x8: 6.377
(epoch: 171, iters: 68400, time: 724.351) l1_x8: 6.369
(epoch: 172, iters: 68800, time: 724.429) l1_x8: 6.358
(epoch: 173, iters: 69200, time: 724.790) l1_x8: 6.357
(epoch: 174, iters: 69600, time: 724.576) l1_x8: 6.334
(epoch: 175, iters: 70000, time: 724.413) l1_x8: 6.347
(epoch: 176, iters: 70400, time: 724.782) l1_x8: 6.347
(epoch: 177, iters: 70800, time: 725.311) l1_x8: 6.356
(epoch: 178, iters: 71200, time: 724.931) l1_x8: 6.358
(epoch: 179, iters: 71600, time: 724.819) l1_x8: 6.339
(epoch: 180, iters: 72000, time: 724.975) l1_x8: 6.385
(epoch: 181, iters: 72400, time: 725.764) l1_x8: 6.335
(epoch: 182, iters: 72800, time: 725.064) l1_x8: 6.349
(epoch: 183, iters: 73200, time: 724.997) l1_x8: 6.319
