(epoch: 1, iters: 400, time: 869.009) l1_x4: 7.154
(epoch: 2, iters: 800, time: 874.949) l1_x4: 6.755
(epoch: 3, iters: 1200, time: 874.324) l1_x4: 6.628
(epoch: 4, iters: 1600, time: 873.936) l1_x4: 6.549
(epoch: 5, iters: 2000, time: 873.917) l1_x4: 6.477
(epoch: 6, iters: 2400, time: 873.242) l1_x4: 6.433
(epoch: 7, iters: 2800, time: 873.409) l1_x4: 6.399
(epoch: 8, iters: 3200, time: 872.915) l1_x4: 6.384
(epoch: 9, iters: 3600, time: 872.132) l1_x4: 6.351
(epoch: 10, iters: 4000, time: 871.830) l1_x4: 6.314
(epoch: 11, iters: 4400, time: 871.871) l1_x4: 6.287
(epoch: 12, iters: 4800, time: 872.235) l1_x4: 6.266
(epoch: 13, iters: 5200, time: 871.679) l1_x4: 6.254
(epoch: 14, iters: 5600, time: 871.810) l1_x4: 6.221
(epoch: 15, iters: 6000, time: 871.322) l1_x4: 6.218
(epoch: 16, iters: 6400, time: 872.061) l1_x4: 6.197
(epoch: 17, iters: 6800, time: 871.565) l1_x4: 6.122
(epoch: 18, iters: 7200, time: 871.923) l1_x4: 6.104
(epoch: 19, iters: 7600, time: 872.290) l1_x4: 6.074
(epoch: 20, iters: 8000, time: 871.298) l1_x4: 6.057
(epoch: 21, iters: 8400, time: 871.023) l1_x4: 6.053
(epoch: 22, iters: 8800, time: 871.536) l1_x4: 6.067
(epoch: 23, iters: 9200, time: 871.656) l1_x4: 6.037
(epoch: 24, iters: 9600, time: 873.292) l1_x4: 6.044
(epoch: 25, iters: 10000, time: 872.473) l1_x4: 6.027
(epoch: 26, iters: 10400, time: 872.707) l1_x4: 6.032
(epoch: 27, iters: 10800, time: 872.982) l1_x4: 6.016
(epoch: 28, iters: 11200, time: 872.290) l1_x4: 6.009
(epoch: 29, iters: 11600, time: 872.666) l1_x4: 6.011
(epoch: 30, iters: 12000, time: 872.713) l1_x4: 6.008
(epoch: 31, iters: 12400, time: 872.804) l1_x4: 6.000
(epoch: 32, iters: 12800, time: 872.530) l1_x4: 5.998
(epoch: 33, iters: 13200, time: 872.238) l1_x4: 5.983
(epoch: 34, iters: 13600, time: 872.653) l1_x4: 5.980
(epoch: 35, iters: 14000, time: 872.560) l1_x4: 5.987
(epoch: 36, iters: 14400, time: 872.624) l1_x4: 5.990
(epoch: 37, iters: 14800, time: 872.479) l1_x4: 5.971
(epoch: 38, iters: 15200, time: 872.080) l1_x4: 5.963
(epoch: 39, iters: 15600, time: 872.575) l1_x4: 5.955
(epoch: 40, iters: 16000, time: 872.516) l1_x4: 5.965
(epoch: 41, iters: 16400, time: 872.263) l1_x4: 5.961
(epoch: 42, iters: 16800, time: 872.385) l1_x4: 5.941
(epoch: 43, iters: 17200, time: 871.988) l1_x4: 5.957
(epoch: 44, iters: 17600, time: 873.252) l1_x4: 5.948
(epoch: 45, iters: 18000, time: 872.652) l1_x4: 5.935
(epoch: 46, iters: 18400, time: 872.636) l1_x4: 5.931
(epoch: 47, iters: 18800, time: 872.978) l1_x4: 5.928
(epoch: 48, iters: 19200, time: 872.275) l1_x4: 5.917
(epoch: 49, iters: 19600, time: 872.558) l1_x4: 5.912
(epoch: 50, iters: 20000, time: 873.127) l1_x4: 5.909
(epoch: 51, iters: 20400, time: 872.357) l1_x4: 5.911
(epoch: 52, iters: 20800, time: 871.858) l1_x4: 5.915
(epoch: 53, iters: 21200, time: 870.983) l1_x4: 5.915
(epoch: 54, iters: 21600, time: 871.213) l1_x4: 5.905
(epoch: 55, iters: 22000, time: 871.968) l1_x4: 5.893
(epoch: 56, iters: 22400, time: 871.903) l1_x4: 5.896
(epoch: 57, iters: 22800, time: 871.682) l1_x4: 5.885
(epoch: 58, iters: 23200, time: 872.140) l1_x4: 5.897
(epoch: 59, iters: 23600, time: 872.340) l1_x4: 5.879
(epoch: 60, iters: 24000, time: 872.460) l1_x4: 5.879
(epoch: 61, iters: 24400, time: 871.372) l1_x4: 5.872
(epoch: 62, iters: 24800, time: 872.139) l1_x4: 5.847
(epoch: 63, iters: 25200, time: 872.696) l1_x4: 5.872
(epoch: 64, iters: 25600, time: 872.812) l1_x4: 5.865
(epoch: 65, iters: 26000, time: 871.881) l1_x4: 5.855
(epoch: 66, iters: 26400, time: 871.487) l1_x4: 5.865
(epoch: 67, iters: 26800, time: 872.441) l1_x4: 5.871
(epoch: 68, iters: 27200, time: 871.706) l1_x4: 5.860
(epoch: 69, iters: 27600, time: 872.711) l1_x4: 5.849
(epoch: 70, iters: 28000, time: 872.951) l1_x4: 5.849
(epoch: 71, iters: 28400, time: 871.913) l1_x4: 5.819
(epoch: 72, iters: 28800, time: 871.577) l1_x4: 5.835
(epoch: 73, iters: 29200, time: 872.497) l1_x4: 5.836
(epoch: 74, iters: 29600, time: 871.983) l1_x4: 5.825
(epoch: 75, iters: 30000, time: 872.947) l1_x4: 5.822
(epoch: 76, iters: 30400, time: 872.486) l1_x4: 5.820
(epoch: 77, iters: 30800, time: 871.899) l1_x4: 5.804
(epoch: 78, iters: 31200, time: 872.175) l1_x4: 5.812
(epoch: 79, iters: 31600, time: 872.622) l1_x4: 5.802
(epoch: 80, iters: 32000, time: 872.372) l1_x4: 5.803
(epoch: 81, iters: 32400, time: 871.821) l1_x4: 5.812
(epoch: 82, iters: 32800, time: 872.698) l1_x4: 5.813
(epoch: 83, iters: 33200, time: 871.880) l1_x4: 5.802
(epoch: 84, iters: 33600, time: 872.786) l1_x4: 5.787
(epoch: 85, iters: 34000, time: 872.675) l1_x4: 5.783
(epoch: 86, iters: 34400, time: 872.075) l1_x4: 5.794
(epoch: 87, iters: 34800, time: 872.632) l1_x4: 5.792
(epoch: 88, iters: 35200, time: 872.479) l1_x4: 5.794
(epoch: 89, iters: 35600, time: 873.331) l1_x4: 5.784
(epoch: 90, iters: 36000, time: 872.763) l1_x4: 5.787
(epoch: 91, iters: 36400, time: 872.290) l1_x4: 5.782
(epoch: 92, iters: 36800, time: 871.623) l1_x4: 5.781
(epoch: 93, iters: 37200, time: 872.876) l1_x4: 5.753
(epoch: 94, iters: 37600, time: 872.175) l1_x4: 5.758
(epoch: 95, iters: 38000, time: 872.051) l1_x4: 5.767
(epoch: 96, iters: 38400, time: 872.238) l1_x4: 5.762
(epoch: 97, iters: 38800, time: 872.065) l1_x4: 5.749
(epoch: 98, iters: 39200, time: 872.271) l1_x4: 5.751
(epoch: 99, iters: 39600, time: 872.508) l1_x4: 5.751
(epoch: 100, iters: 40000, time: 872.668) l1_x4: 5.749
(epoch: 101, iters: 40400, time: 873.140) l1_x4: 5.751
(epoch: 102, iters: 40800, time: 872.863) l1_x4: 5.751
(epoch: 103, iters: 41200, time: 872.522) l1_x4: 5.744
(epoch: 104, iters: 41600, time: 872.443) l1_x4: 5.732
(epoch: 105, iters: 42000, time: 872.630) l1_x4: 5.729
(epoch: 106, iters: 42400, time: 872.026) l1_x4: 5.726
(epoch: 107, iters: 42800, time: 871.865) l1_x4: 5.732
(epoch: 108, iters: 43200, time: 871.906) l1_x4: 5.731
(epoch: 109, iters: 43600, time: 871.864) l1_x4: 5.722
(epoch: 110, iters: 44000, time: 871.922) l1_x4: 5.704
(epoch: 111, iters: 44400, time: 871.934) l1_x4: 5.720
(epoch: 112, iters: 44800, time: 872.378) l1_x4: 5.712
(epoch: 113, iters: 45200, time: 871.360) l1_x4: 5.703
(epoch: 114, iters: 45600, time: 871.468) l1_x4: 5.692
(epoch: 115, iters: 46000, time: 872.220) l1_x4: 5.696
(epoch: 116, iters: 46400, time: 872.470) l1_x4: 5.704
(epoch: 117, iters: 46800, time: 871.462) l1_x4: 5.703
(epoch: 118, iters: 47200, time: 872.180) l1_x4: 5.678
(epoch: 119, iters: 47600, time: 871.600) l1_x4: 5.697
(epoch: 120, iters: 48000, time: 873.065) l1_x4: 5.682
(epoch: 121, iters: 48400, time: 872.350) l1_x4: 5.688
(epoch: 122, iters: 48800, time: 871.566) l1_x4: 5.682
(epoch: 123, iters: 49200, time: 872.538) l1_x4: 5.688
(epoch: 124, iters: 49600, time: 872.065) l1_x4: 5.675
(epoch: 125, iters: 50000, time: 872.400) l1_x4: 5.681
(epoch: 126, iters: 50400, time: 871.862) l1_x4: 5.677
(epoch: 127, iters: 50800, time: 872.255) l1_x4: 5.666
(epoch: 128, iters: 51200, time: 872.053) l1_x4: 5.667
(epoch: 129, iters: 51600, time: 871.667) l1_x4: 5.671
(epoch: 130, iters: 52000, time: 872.663) l1_x4: 5.671
(epoch: 131, iters: 52400, time: 871.598) l1_x4: 5.651
(epoch: 132, iters: 52800, time: 873.233) l1_x4: 5.668
(epoch: 133, iters: 53200, time: 872.027) l1_x4: 5.651
(epoch: 134, iters: 53600, time: 872.931) l1_x4: 5.643
(epoch: 135, iters: 54000, time: 872.571) l1_x4: 5.652
(epoch: 136, iters: 54400, time: 872.358) l1_x4: 5.653
(epoch: 137, iters: 54800, time: 871.863) l1_x4: 5.650
(epoch: 138, iters: 55200, time: 872.445) l1_x4: 5.646
(epoch: 139, iters: 55600, time: 872.637) l1_x4: 5.644
(epoch: 140, iters: 56000, time: 872.703) l1_x4: 5.632
(epoch: 141, iters: 56400, time: 872.598) l1_x4: 5.631
(epoch: 142, iters: 56800, time: 872.379) l1_x4: 5.617
(epoch: 143, iters: 57200, time: 871.842) l1_x4: 5.638
(epoch: 144, iters: 57600, time: 872.063) l1_x4: 5.630
(epoch: 145, iters: 58000, time: 872.114) l1_x4: 5.628
(epoch: 146, iters: 58400, time: 871.583) l1_x4: 5.627
(epoch: 147, iters: 58800, time: 872.203) l1_x4: 5.610
(epoch: 148, iters: 59200, time: 871.914) l1_x4: 5.617
(epoch: 149, iters: 59600, time: 872.595) l1_x4: 5.632
(epoch: 150, iters: 60000, time: 872.404) l1_x4: 5.618
(epoch: 151, iters: 60400, time: 872.585) l1_x4: 5.602
(epoch: 152, iters: 60800, time: 872.758) l1_x4: 5.597
(epoch: 153, iters: 61200, time: 871.895) l1_x4: 5.612
(epoch: 154, iters: 61600, time: 872.442) l1_x4: 5.605
(epoch: 155, iters: 62000, time: 871.931) l1_x4: 5.612
(epoch: 156, iters: 62400, time: 873.210) l1_x4: 5.613
(epoch: 157, iters: 62800, time: 872.627) l1_x4: 5.591
