(epoch: 1, iters: 400, time: 694.614) l1_x8: 14.479
(epoch: 2, iters: 800, time: 702.226) l1_x8: 14.002
(epoch: 3, iters: 1200, time: 700.872) l1_x8: 13.778
(epoch: 4, iters: 1600, time: 700.276) l1_x8: 13.695
(epoch: 5, iters: 2000, time: 699.868) l1_x8: 13.599
(epoch: 6, iters: 2400, time: 699.359) l1_x8: 13.549
(epoch: 7, iters: 2800, time: 699.677) l1_x8: 13.485
(epoch: 8, iters: 3200, time: 699.469) l1_x8: 13.420
(epoch: 9, iters: 3600, time: 698.794) l1_x8: 13.372
(epoch: 10, iters: 4000, time: 698.704) l1_x8: 13.385
(epoch: 11, iters: 4400, time: 698.364) l1_x8: 13.310
(epoch: 12, iters: 4800, time: 698.496) l1_x8: 13.346
(epoch: 13, iters: 5200, time: 698.763) l1_x8: 13.283
(epoch: 14, iters: 5600, time: 698.231) l1_x8: 13.239
(epoch: 15, iters: 6000, time: 698.218) l1_x8: 13.292
(epoch: 16, iters: 6400, time: 698.239) l1_x8: 13.235
(epoch: 17, iters: 6800, time: 698.986) l1_x8: 13.138
(epoch: 18, iters: 7200, time: 699.048) l1_x8: 13.097
(epoch: 19, iters: 7600, time: 698.994) l1_x8: 13.100
(epoch: 20, iters: 8000, time: 698.869) l1_x8: 13.048
(epoch: 21, iters: 8400, time: 699.131) l1_x8: 13.035
(epoch: 22, iters: 8800, time: 698.608) l1_x8: 13.022
(epoch: 23, iters: 9200, time: 698.138) l1_x8: 12.970
(epoch: 24, iters: 9600, time: 698.706) l1_x8: 13.025
(epoch: 25, iters: 10000, time: 698.135) l1_x8: 13.018
(epoch: 26, iters: 10400, time: 698.432) l1_x8: 12.981
(epoch: 27, iters: 10800, time: 698.550) l1_x8: 12.990
(epoch: 28, iters: 11200, time: 701.686) l1_x8: 12.996
(epoch: 29, iters: 11600, time: 699.653) l1_x8: 12.992
(epoch: 30, iters: 12000, time: 698.961) l1_x8: 12.914
(epoch: 31, iters: 12400, time: 698.440) l1_x8: 12.938
(epoch: 32, iters: 12800, time: 698.458) l1_x8: 12.957
(epoch: 33, iters: 13200, time: 698.530) l1_x8: 12.949
(epoch: 34, iters: 13600, time: 698.355) l1_x8: 12.903
(epoch: 35, iters: 14000, time: 698.440) l1_x8: 12.942
(epoch: 36, iters: 14400, time: 698.032) l1_x8: 12.867
(epoch: 37, iters: 14800, time: 698.346) l1_x8: 12.906
(epoch: 38, iters: 15200, time: 698.487) l1_x8: 12.876
(epoch: 39, iters: 15600, time: 698.155) l1_x8: 12.887
(epoch: 40, iters: 16000, time: 698.626) l1_x8: 12.867
(epoch: 41, iters: 16400, time: 698.752) l1_x8: 12.877
(epoch: 42, iters: 16800, time: 698.681) l1_x8: 12.823
(epoch: 43, iters: 17200, time: 698.924) l1_x8: 12.919
(epoch: 44, iters: 17600, time: 698.690) l1_x8: 12.920
(epoch: 45, iters: 18000, time: 698.226) l1_x8: 12.824
(epoch: 46, iters: 18400, time: 698.186) l1_x8: 12.884
(epoch: 47, iters: 18800, time: 698.563) l1_x8: 12.823
(epoch: 48, iters: 19200, time: 698.434) l1_x8: 12.885
(epoch: 49, iters: 19600, time: 698.411) l1_x8: 12.845
(epoch: 50, iters: 20000, time: 698.401) l1_x8: 12.853
(epoch: 51, iters: 20400, time: 698.482) l1_x8: 12.840
(epoch: 52, iters: 20800, time: 698.744) l1_x8: 12.855
(epoch: 53, iters: 21200, time: 698.507) l1_x8: 12.797
(epoch: 54, iters: 21600, time: 698.705) l1_x8: 12.768
(epoch: 55, iters: 22000, time: 698.632) l1_x8: 12.892
(epoch: 56, iters: 22400, time: 698.299) l1_x8: 12.793
(epoch: 57, iters: 22800, time: 698.606) l1_x8: 12.806
(epoch: 58, iters: 23200, time: 698.735) l1_x8: 12.789
(epoch: 59, iters: 23600, time: 698.707) l1_x8: 12.812
(epoch: 60, iters: 24000, time: 698.416) l1_x8: 12.782
(epoch: 61, iters: 24400, time: 698.177) l1_x8: 12.759
(epoch: 62, iters: 24800, time: 698.338) l1_x8: 12.781
(epoch: 63, iters: 25200, time: 698.196) l1_x8: 12.802
(epoch: 64, iters: 25600, time: 698.668) l1_x8: 12.731
(epoch: 65, iters: 26000, time: 698.716) l1_x8: 12.728
(epoch: 66, iters: 26400, time: 698.611) l1_x8: 12.828
(epoch: 67, iters: 26800, time: 698.770) l1_x8: 12.736
(epoch: 68, iters: 27200, time: 698.942) l1_x8: 12.740
(epoch: 69, iters: 27600, time: 698.317) l1_x8: 12.784
(epoch: 70, iters: 28000, time: 698.701) l1_x8: 12.708
(epoch: 71, iters: 28400, time: 699.062) l1_x8: 12.681
(epoch: 72, iters: 28800, time: 699.065) l1_x8: 12.724
(epoch: 73, iters: 29200, time: 698.777) l1_x8: 12.710
(epoch: 74, iters: 29600, time: 698.882) l1_x8: 12.700
(epoch: 75, iters: 30000, time: 698.677) l1_x8: 12.708
(epoch: 76, iters: 30400, time: 699.519) l1_x8: 12.712
(epoch: 77, iters: 30800, time: 698.625) l1_x8: 12.685
(epoch: 78, iters: 31200, time: 698.904) l1_x8: 12.678
(epoch: 79, iters: 31600, time: 698.418) l1_x8: 12.690
(epoch: 80, iters: 32000, time: 698.843) l1_x8: 12.699
(epoch: 81, iters: 32400, time: 698.425) l1_x8: 12.680
(epoch: 82, iters: 32800, time: 698.345) l1_x8: 12.647
(epoch: 83, iters: 33200, time: 698.683) l1_x8: 12.639
(epoch: 84, iters: 33600, time: 698.184) l1_x8: 12.639
(epoch: 85, iters: 34000, time: 698.090) l1_x8: 12.613
(epoch: 86, iters: 34400, time: 698.461) l1_x8: 12.672
(epoch: 87, iters: 34800, time: 697.865) l1_x8: 12.655
(epoch: 88, iters: 35200, time: 698.206) l1_x8: 12.690
(epoch: 89, iters: 35600, time: 697.849) l1_x8: 12.647
(epoch: 90, iters: 36000, time: 698.532) l1_x8: 12.611
(epoch: 91, iters: 36400, time: 698.247) l1_x8: 12.652
(epoch: 92, iters: 36800, time: 698.224) l1_x8: 12.649
(epoch: 93, iters: 37200, time: 697.869) l1_x8: 12.642
(epoch: 94, iters: 37600, time: 697.924) l1_x8: 12.646
(epoch: 95, iters: 38000, time: 698.787) l1_x8: 12.592
(epoch: 96, iters: 38400, time: 698.080) l1_x8: 12.574
(epoch: 97, iters: 38800, time: 698.684) l1_x8: 12.634
(epoch: 98, iters: 39200, time: 698.887) l1_x8: 12.577
(epoch: 99, iters: 39600, time: 698.387) l1_x8: 12.618
(epoch: 100, iters: 40000, time: 698.377) l1_x8: 12.573
(epoch: 101, iters: 40400, time: 698.467) l1_x8: 12.573
(epoch: 102, iters: 40800, time: 699.095) l1_x8: 12.615
(epoch: 103, iters: 41200, time: 699.361) l1_x8: 12.530
(epoch: 104, iters: 41600, time: 698.703) l1_x8: 12.585
(epoch: 105, iters: 42000, time: 698.817) l1_x8: 12.544
(epoch: 106, iters: 42400, time: 698.760) l1_x8: 12.558
(epoch: 107, iters: 42800, time: 698.404) l1_x8: 12.548
(epoch: 108, iters: 43200, time: 698.974) l1_x8: 12.546
(epoch: 109, iters: 43600, time: 698.971) l1_x8: 12.596
(epoch: 110, iters: 44000, time: 698.832) l1_x8: 12.539
(epoch: 111, iters: 44400, time: 698.938) l1_x8: 12.581
(epoch: 112, iters: 44800, time: 698.942) l1_x8: 12.517
(epoch: 113, iters: 45200, time: 698.924) l1_x8: 12.522
(epoch: 114, iters: 45600, time: 698.878) l1_x8: 12.536
(epoch: 115, iters: 46000, time: 699.144) l1_x8: 12.490
(epoch: 116, iters: 46400, time: 699.179) l1_x8: 12.515
(epoch: 117, iters: 46800, time: 698.975) l1_x8: 12.468
(epoch: 118, iters: 47200, time: 699.152) l1_x8: 12.465
(epoch: 119, iters: 47600, time: 698.861) l1_x8: 12.482
(epoch: 120, iters: 48000, time: 698.572) l1_x8: 12.549
(epoch: 121, iters: 48400, time: 699.014) l1_x8: 12.496
(epoch: 122, iters: 48800, time: 698.495) l1_x8: 12.478
(epoch: 123, iters: 49200, time: 698.172) l1_x8: 12.481
(epoch: 124, iters: 49600, time: 698.317) l1_x8: 12.503
(epoch: 125, iters: 50000, time: 698.452) l1_x8: 12.471
(epoch: 126, iters: 50400, time: 698.038) l1_x8: 12.550
(epoch: 127, iters: 50800, time: 698.731) l1_x8: 12.435
(epoch: 128, iters: 51200, time: 698.833) l1_x8: 12.429
(epoch: 129, iters: 51600, time: 698.387) l1_x8: 12.402
