(epoch: 251, iters: 100400, time: 440.398) l1_x8: 16.727
(epoch: 252, iters: 100800, time: 444.035) l1_x8: 16.589
(epoch: 253, iters: 101200, time: 443.839) l1_x8: 16.479
(epoch: 254, iters: 101600, time: 443.452) l1_x8: 16.428
(epoch: 255, iters: 102000, time: 444.294) l1_x8: 16.372
(epoch: 256, iters: 102400, time: 444.407) l1_x8: 16.285
(epoch: 257, iters: 102800, time: 444.186) l1_x8: 16.312
(epoch: 258, iters: 103200, time: 443.776) l1_x8: 16.285
(epoch: 259, iters: 103600, time: 443.364) l1_x8: 16.217
(epoch: 260, iters: 104000, time: 443.446) l1_x8: 16.116
(epoch: 261, iters: 104400, time: 444.321) l1_x8: 16.060
(epoch: 262, iters: 104800, time: 443.769) l1_x8: 16.020
(epoch: 263, iters: 105200, time: 443.685) l1_x8: 16.014
(epoch: 264, iters: 105600, time: 443.766) l1_x8: 15.958
(epoch: 265, iters: 106000, time: 443.875) l1_x8: 15.909
(epoch: 266, iters: 106400, time: 444.358) l1_x8: 15.868
(epoch: 267, iters: 106800, time: 444.202) l1_x8: 15.882
(epoch: 268, iters: 107200, time: 444.213) l1_x8: 15.817
(epoch: 269, iters: 107600, time: 443.869) l1_x8: 15.758
(epoch: 270, iters: 108000, time: 444.546) l1_x8: 15.790
(epoch: 271, iters: 108400, time: 444.047) l1_x8: 15.749
(epoch: 272, iters: 108800, time: 444.336) l1_x8: 15.735
(epoch: 273, iters: 109200, time: 444.188) l1_x8: 15.696
(epoch: 274, iters: 109600, time: 444.447) l1_x8: 15.670
(epoch: 275, iters: 110000, time: 444.268) l1_x8: 15.607
