(epoch: 1, iters: 400, time: 829.892) l1_x4: 12.840
(epoch: 2, iters: 800, time: 841.376) l1_x4: 12.274
(epoch: 3, iters: 1200, time: 838.872) l1_x4: 12.081
(epoch: 4, iters: 1600, time: 838.749) l1_x4: 11.972
(epoch: 5, iters: 2000, time: 837.611) l1_x4: 11.907
(epoch: 6, iters: 2400, time: 838.127) l1_x4: 11.812
(epoch: 7, iters: 2800, time: 837.642) l1_x4: 11.743
(epoch: 8, iters: 3200, time: 837.814) l1_x4: 11.719
(epoch: 9, iters: 3600, time: 837.401) l1_x4: 11.678
(epoch: 10, iters: 4000, time: 836.970) l1_x4: 11.627
(epoch: 11, iters: 4400, time: 837.228) l1_x4: 11.598
(epoch: 12, iters: 4800, time: 837.117) l1_x4: 11.563
(epoch: 13, iters: 5200, time: 837.197) l1_x4: 11.535
(epoch: 14, iters: 5600, time: 837.513) l1_x4: 11.508
(epoch: 15, iters: 6000, time: 837.404) l1_x4: 11.477
(epoch: 16, iters: 6400, time: 837.190) l1_x4: 11.425
(epoch: 17, iters: 6800, time: 836.635) l1_x4: 11.347
(epoch: 18, iters: 7200, time: 836.884) l1_x4: 11.287
(epoch: 19, iters: 7600, time: 836.891) l1_x4: 11.273
(epoch: 20, iters: 8000, time: 837.011) l1_x4: 11.243
(epoch: 21, iters: 8400, time: 837.138) l1_x4: 11.215
(epoch: 22, iters: 8800, time: 837.581) l1_x4: 11.231
(epoch: 23, iters: 9200, time: 836.760) l1_x4: 11.211
(epoch: 24, iters: 9600, time: 837.107) l1_x4: 11.192
(epoch: 25, iters: 10000, time: 837.029) l1_x4: 11.176
(epoch: 26, iters: 10400, time: 837.094) l1_x4: 11.200
(epoch: 27, iters: 10800, time: 836.864) l1_x4: 11.164
(epoch: 28, iters: 11200, time: 836.954) l1_x4: 11.184
(epoch: 29, iters: 11600, time: 837.155) l1_x4: 11.156
(epoch: 30, iters: 12000, time: 837.186) l1_x4: 11.179
(epoch: 31, iters: 12400, time: 837.007) l1_x4: 11.160
(epoch: 32, iters: 12800, time: 837.010) l1_x4: 11.135
(epoch: 33, iters: 13200, time: 836.875) l1_x4: 11.097
(epoch: 34, iters: 13600, time: 836.873) l1_x4: 11.145
(epoch: 35, iters: 14000, time: 837.178) l1_x4: 11.126
(epoch: 36, iters: 14400, time: 837.011) l1_x4: 11.143
(epoch: 37, iters: 14800, time: 836.863) l1_x4: 11.098
(epoch: 38, iters: 15200, time: 836.966) l1_x4: 11.082
(epoch: 39, iters: 15600, time: 837.562) l1_x4: 11.110
(epoch: 40, iters: 16000, time: 837.381) l1_x4: 11.094
(epoch: 41, iters: 16400, time: 837.377) l1_x4: 11.088
(epoch: 42, iters: 16800, time: 837.081) l1_x4: 11.046
(epoch: 43, iters: 17200, time: 837.135) l1_x4: 11.059
(epoch: 44, iters: 17600, time: 837.002) l1_x4: 11.054
(epoch: 45, iters: 18000, time: 837.609) l1_x4: 11.033
(epoch: 46, iters: 18400, time: 836.951) l1_x4: 11.054
(epoch: 47, iters: 18800, time: 837.202) l1_x4: 11.048
(epoch: 48, iters: 19200, time: 836.743) l1_x4: 11.016
(epoch: 49, iters: 19600, time: 837.160) l1_x4: 11.006
(epoch: 50, iters: 20000, time: 837.306) l1_x4: 11.021
(epoch: 51, iters: 20400, time: 836.935) l1_x4: 11.001
(epoch: 52, iters: 20800, time: 836.884) l1_x4: 10.996
(epoch: 53, iters: 21200, time: 836.647) l1_x4: 10.997
(epoch: 54, iters: 21600, time: 837.080) l1_x4: 10.978
(epoch: 55, iters: 22000, time: 836.812) l1_x4: 10.969
(epoch: 56, iters: 22400, time: 836.874) l1_x4: 10.967
(epoch: 57, iters: 22800, time: 837.089) l1_x4: 10.938
(epoch: 58, iters: 23200, time: 836.738) l1_x4: 10.959
(epoch: 59, iters: 23600, time: 836.886) l1_x4: 10.939
(epoch: 60, iters: 24000, time: 837.172) l1_x4: 10.923
(epoch: 61, iters: 24400, time: 836.991) l1_x4: 10.946
(epoch: 62, iters: 24800, time: 837.186) l1_x4: 10.940
(epoch: 63, iters: 25200, time: 837.188) l1_x4: 10.936
(epoch: 64, iters: 25600, time: 837.495) l1_x4: 10.924
(epoch: 65, iters: 26000, time: 837.235) l1_x4: 10.912
(epoch: 66, iters: 26400, time: 837.089) l1_x4: 10.923
(epoch: 67, iters: 26800, time: 837.116) l1_x4: 10.881
(epoch: 68, iters: 27200, time: 837.087) l1_x4: 10.909
(epoch: 69, iters: 27600, time: 837.384) l1_x4: 10.906
(epoch: 70, iters: 28000, time: 837.371) l1_x4: 10.881
(epoch: 71, iters: 28400, time: 836.898) l1_x4: 10.873
(epoch: 72, iters: 28800, time: 837.311) l1_x4: 10.882
(epoch: 73, iters: 29200, time: 837.022) l1_x4: 10.860
(epoch: 74, iters: 29600, time: 837.338) l1_x4: 10.882
(epoch: 75, iters: 30000, time: 837.155) l1_x4: 10.853
(epoch: 76, iters: 30400, time: 837.101) l1_x4: 10.867
(epoch: 77, iters: 30800, time: 836.899) l1_x4: 10.831
(epoch: 78, iters: 31200, time: 837.001) l1_x4: 10.840
(epoch: 79, iters: 31600, time: 837.072) l1_x4: 10.831
(epoch: 80, iters: 32000, time: 836.822) l1_x4: 10.815
(epoch: 81, iters: 32400, time: 837.012) l1_x4: 10.820
(epoch: 82, iters: 32800, time: 836.894) l1_x4: 10.826
(epoch: 83, iters: 33200, time: 836.818) l1_x4: 10.806
(epoch: 84, iters: 33600, time: 837.036) l1_x4: 10.812
(epoch: 85, iters: 34000, time: 836.899) l1_x4: 10.799
(epoch: 86, iters: 34400, time: 836.800) l1_x4: 10.795
(epoch: 87, iters: 34800, time: 836.838) l1_x4: 10.777
(epoch: 88, iters: 35200, time: 837.028) l1_x4: 10.792
(epoch: 89, iters: 35600, time: 836.958) l1_x4: 10.784
(epoch: 90, iters: 36000, time: 836.927) l1_x4: 10.765
(epoch: 91, iters: 36400, time: 837.453) l1_x4: 10.786
(epoch: 92, iters: 36800, time: 837.157) l1_x4: 10.757
(epoch: 93, iters: 37200, time: 836.740) l1_x4: 10.756
(epoch: 94, iters: 37600, time: 837.152) l1_x4: 10.753
(epoch: 95, iters: 38000, time: 836.847) l1_x4: 10.748
(epoch: 96, iters: 38400, time: 837.012) l1_x4: 10.736
(epoch: 97, iters: 38800, time: 837.046) l1_x4: 10.745
(epoch: 98, iters: 39200, time: 836.884) l1_x4: 10.740
(epoch: 99, iters: 39600, time: 836.939) l1_x4: 10.720
(epoch: 100, iters: 40000, time: 837.332) l1_x4: 10.730
(epoch: 101, iters: 40400, time: 836.840) l1_x4: 10.694
(epoch: 102, iters: 40800, time: 836.978) l1_x4: 10.697
(epoch: 103, iters: 41200, time: 837.293) l1_x4: 10.709
(epoch: 104, iters: 41600, time: 836.771) l1_x4: 10.700
(epoch: 105, iters: 42000, time: 837.122) l1_x4: 10.685
(epoch: 106, iters: 42400, time: 837.445) l1_x4: 10.687
(epoch: 107, iters: 42800, time: 836.976) l1_x4: 10.675
(epoch: 108, iters: 43200, time: 837.349) l1_x4: 10.691
(epoch: 109, iters: 43600, time: 837.119) l1_x4: 10.650
(epoch: 110, iters: 44000, time: 837.368) l1_x4: 10.677
(epoch: 111, iters: 44400, time: 837.002) l1_x4: 10.655
(epoch: 112, iters: 44800, time: 837.110) l1_x4: 10.663
(epoch: 113, iters: 45200, time: 837.441) l1_x4: 10.624
(epoch: 114, iters: 45600, time: 837.031) l1_x4: 10.646
(epoch: 115, iters: 46000, time: 836.912) l1_x4: 10.642
(epoch: 116, iters: 46400, time: 837.696) l1_x4: 10.636
(epoch: 117, iters: 46800, time: 837.257) l1_x4: 10.652
(epoch: 118, iters: 47200, time: 837.112) l1_x4: 10.618
(epoch: 119, iters: 47600, time: 837.226) l1_x4: 10.639
(epoch: 120, iters: 48000, time: 837.212) l1_x4: 10.622
(epoch: 121, iters: 48400, time: 837.031) l1_x4: 10.625
(epoch: 122, iters: 48800, time: 837.242) l1_x4: 10.622
(epoch: 123, iters: 49200, time: 836.964) l1_x4: 10.611
(epoch: 124, iters: 49600, time: 837.201) l1_x4: 10.609
(epoch: 125, iters: 50000, time: 837.200) l1_x4: 10.593
(epoch: 126, iters: 50400, time: 837.013) l1_x4: 10.582
(epoch: 127, iters: 50800, time: 836.976) l1_x4: 10.584
(epoch: 128, iters: 51200, time: 837.312) l1_x4: 10.594
(epoch: 129, iters: 51600, time: 837.407) l1_x4: 10.580
(epoch: 130, iters: 52000, time: 837.486) l1_x4: 10.583
(epoch: 131, iters: 52400, time: 837.245) l1_x4: 10.570
(epoch: 132, iters: 52800, time: 837.807) l1_x4: 10.553
(epoch: 133, iters: 53200, time: 837.533) l1_x4: 10.555
(epoch: 134, iters: 53600, time: 837.141) l1_x4: 10.546
(epoch: 135, iters: 54000, time: 837.691) l1_x4: 10.547
(epoch: 136, iters: 54400, time: 837.163) l1_x4: 10.556
(epoch: 137, iters: 54800, time: 836.988) l1_x4: 10.519
(epoch: 138, iters: 55200, time: 837.747) l1_x4: 10.528
(epoch: 139, iters: 55600, time: 837.484) l1_x4: 10.545
(epoch: 140, iters: 56000, time: 836.622) l1_x4: 10.541
(epoch: 141, iters: 56400, time: 837.181) l1_x4: 10.543
