(epoch: 2, iters: 20, time: 22.071) l1_x4: 11.522
(epoch: 4, iters: 40, time: 22.835) l1_x4: 10.878
(epoch: 6, iters: 60, time: 23.697) l1_x4: 10.722
(epoch: 8, iters: 80, time: 24.028) l1_x4: 10.398
(epoch: 10, iters: 100, time: 24.058) l1_x4: 10.463
(epoch: 12, iters: 120, time: 24.169) l1_x4: 10.459
(epoch: 14, iters: 140, time: 24.015) l1_x4: 10.396
(epoch: 16, iters: 160, time: 24.027) l1_x4: 10.073
(epoch: 18, iters: 180, time: 24.088) l1_x4: 10.168
(epoch: 20, iters: 200, time: 24.181) l1_x4: 10.186
(epoch: 22, iters: 220, time: 24.212) l1_x4: 9.840
(epoch: 24, iters: 240, time: 24.001) l1_x4: 9.859
(epoch: 26, iters: 260, time: 24.110) l1_x4: 9.876
(epoch: 28, iters: 280, time: 24.029) l1_x4: 10.042
(epoch: 30, iters: 300, time: 24.219) l1_x4: 9.758
(epoch: 32, iters: 320, time: 24.186) l1_x4: 9.813
(epoch: 34, iters: 340, time: 24.354) l1_x4: 9.918
(epoch: 36, iters: 360, time: 24.150) l1_x4: 9.548
(epoch: 38, iters: 380, time: 24.257) l1_x4: 9.769
(epoch: 40, iters: 400, time: 24.141) l1_x4: 9.797
(epoch: 42, iters: 420, time: 24.109) l1_x4: 9.774
(epoch: 44, iters: 440, time: 24.107) l1_x4: 9.548
(epoch: 46, iters: 460, time: 24.109) l1_x4: 9.498
(epoch: 48, iters: 480, time: 24.282) l1_x4: 9.838
(epoch: 50, iters: 500, time: 24.152) l1_x4: 9.701
